Srno,No. of Instances,OS with version,Machine Class,Machine Family,Series,Machine Type,vCPUs,RAM,BootDisk Capacity,Gpu no,Gpu Type,WorkStation,Datacenter Location,Avg no. of hrs,Hrs/Min,Days/Month,Zonal/Regional,HDD,SSD,Balanced SSD,Snapshot
1,1.02,free,,,n1,STANDARD,16,60,,,,,asia-southeast1,,,,,,,,
2,1.99,free,,,n2,,8,16,,,,,asia-southeast1,,,,,,,,
3,2.94,free,,,e2,STANDARD,2,8,,,,,asia-southeast1,,,,,,,,
4,1.02,free,,,n2,,4,32,,,,,asia-southeast1,,,,,,,,
5,1.02,free,,,e2,STANDARD,4,16,,,,,asia-southeast1,,,,,,,,
6,4.03,free,,,e2,MEDIUM,2,4,,,,,asia-southeast1,,,,,,,,
7,4.31,free,,,e2,MEDIUM,2,4,,,,,asia-southeast1,,,,,,,,
8,2.04,free,,,n2d,STANDARD,2,8,,,,,asia-southeast1,,,,,,,,
9,2.09,free,,,e2,MEDIUM,,,,,,,asia-southeast1,,,,,,,,
10,3.06,free,,,e2,small,,,,,,,asia-southeast1,,,,,,,,
11,1.00,free,,,n2,,4,8,,,,,asia-southeast1,314,hours,month,,,,,
12,4.07,free,,,e2,micro,,,,,,,asia-southeast1,,,,,,,,
13,1.65,free,,,e2,small,,,,,,,asia-southeast1,,,,,,,,
14,1.03,free,,,e2,Small,,,,,,,asia-southeast1,,,,,,,,
15,1.01,free,,,e2,small,,,,,,,asia-southeast1,,,,,,,,
16,1.02,free,,,e2,micro,,,,,,,asia-southeast1,,,,,,,,
17,1.00,free,,,e2,micro,,,,,,,asia-southeast1,540,hours,month,,,,,
18,1.00,free,,,e2,MEDIUM,,,,,,,asia-southeast1,120,hours,month,,,,,
19,1.00,free,,,n1,STANDARD,4,15,,,,,asia-southeast1,18,hours,month,,,,,
20,1.00,free,,,n2,,2,4,,,,,asia-southeast1,32,hours,month,,,,,
21,1.00,free,,,e2,,4,30.5,,,,,asia-southeast1,3,hours,month,,,,,
22,1.00,free,,,e2,,2,15.25,,,,,asia-southeast1,4,hours,month,,,,,